,pattern,mean,std
623,0.0.4a41,0.42,0.4935585071701228
784,0.0.0a17,0.42,0.4935585071701228
295,0.3.2a2,0.42,0.4935585071701228
579,0.0.5a23,0.42,0.4935585071701228
48,1.1.0a10,0.42,0.4935585071701228
931,1.0.0a18,0.42,0.4935585071701228
550,0.1.0a18,0.42,0.4935585071701228
655,0.0.4a16,0.42,0.4935585071701228
510,46.0.0a1,0.42,0.4935585071701228
566,36.2.0a1,0.42,0.4935585071701228
790,1.20.6.dev17,0.48,0.49959983987187156
773,3.0.11.dev1857827188,0.48,0.49959983987187156
411,0.12.0.dev1,0.48,0.49959983987187156
590,2.0.0.dev5,0.48,0.49959983987187156
453,2.3.2.dev571210381,0.48,0.49959983987187156
412,2.0.6.dev105,0.48,0.49959983987187156
555,1.20.6.dev7,0.48,0.49959983987187156
976,3.0.9.dev1366851255,0.48,0.49959983987187156
418,1.3.3.dev18,0.48,0.49959983987187156
